TIMESTAMPms	M1ATTITUDEyaw
50413	1.832388758659363e+0
50666	1.830161333084106e+0
50905	1.826801538467407e+0
51172	1.823329329490662e+0
51440	1.820833325386047e+0
51666	1.818690299987793e+0
51908	1.817543864250183e+0
52199	1.823016047477722e+0
52446	1.831961870193481e+0
52734	1.837764859199524e+0
52983	1.839731097221375e+0
53238	1.841415286064148e+0
53498	1.841000556945801e+0
53815	1.837922096252441e+0
54015	1.834626078605652e+0
54276	1.830382943153381e+0
54516	1.825682759284973e+0
54830	1.824833273887634e+0
55020	1.837049484252930e+0
55254	1.860231995582581e+0
55506	1.883860945701599e+0
55769	1.898942828178406e+0
56030	1.909578204154968e+0
56285	1.916852951049805e+0
56576	1.890739560127258e+0
56828	1.866664648056030e+0
57077	1.873348593711853e+0
57340	1.869856238365173e+0
57585	1.860320091247559e+0
57829	1.850383520126343e+0
58093	1.842586755752563e+0
58359	1.840056777000427e+0
58605	1.838718295097351e+0
58855	1.837703108787537e+0
59125	1.837001919746399e+0
59366	1.835578918457031e+0
59627	1.832738041877747e+0
59873	1.827403545379639e+0
60133	1.829475879669189e+0
60377	1.838732838630676e+0
60654	1.850345015525818e+0
60907	1.858912348747253e+0
61187	1.864518761634827e+0
61407	1.869831919670105e+0
61645	1.876230478286743e+0
61909	1.883083581924438e+0
62176	1.890005707740784e+0
62435	1.897232174873352e+0
62696	1.905149698257446e+0
62955	1.913587450981140e+0
63206	1.920326828956604e+0
63444	1.911914229393005e+0
63726	1.887016177177429e+0
63996	1.862511873245239e+0
64272	1.845022082328796e+0
64525	1.834282398223877e+0
64797	1.826711058616638e+0
65046	1.821450591087341e+0
65308	1.812588691711426e+0
65569	1.739857554435730e+0
65840	1.691012859344482e+0
66094	1.677706956863403e+0
66344	1.688911676406860e+0
66666	1.708035349845886e+0
66851	1.721524715423584e+0
67099	1.731517910957336e+0
67345	1.740506291389465e+0
67625	1.749156355857849e+0
67877	1.756113171577454e+0
68140	1.763072967529297e+0
68385	1.770482540130615e+0
68653	1.778154969215393e+0
68904	1.784960865974426e+0
69169	1.774113059043884e+0
69427	1.749006032943726e+0
69675	1.725004792213440e+0
69925	1.727135658264160e+0
70185	1.743894219398499e+0
70455	1.758463621139526e+0
70688	1.768828749656677e+0
70950	1.777855634689331e+0
71208	1.784427046775818e+0
71466	1.791285395622253e+0
71746	1.790454268455505e+0
71977	1.548774361610413e+0
72222	1.297995924949646e+0
72483	1.174947142601013e+0
72804	1.153324484825134e+0
73011	1.154589176177979e+0
73274	1.160676598548889e+0
73504	1.168570637702942e+0
73759	1.177904248237610e+0
74005	1.185055255889893e+0
74264	1.191234707832336e+0
74530	1.197981476783752e+0
74788	1.212089538574219e+0
75023	1.225554943084717e+0
75311	1.236890673637390e+0
75572	1.239832282066345e+0
75811	1.238856077194214e+0
76073	1.234988689422607e+0
76303	1.230014920234680e+0
76564	1.228499889373779e+0
76832	1.250558614730835e+0
77101	1.260211229324341e+0
77355	1.271262645721436e+0
77623	1.273976087570190e+0
77854	1.260739564895630e+0
78083	1.267239570617676e+0
78343	1.272973060607910e+0
78661	1.275304079055786e+0
78877	1.272890210151672e+0
79163	1.274669528007507e+0
79412	1.279563188552856e+0
79647	1.284727334976196e+0
79912	1.289966940879822e+0
80164	1.294712305068970e+0
80432	1.298031926155090e+0
80703	1.298147797584534e+0
80956	1.288431525230408e+0
81184	1.275966882705688e+0
81469	1.264968514442444e+0
81720	1.262560367584229e+0
81962	1.265659451484680e+0
82222	1.276738762855530e+0
82483	1.296840786933899e+0
82769	1.308955192565918e+0
83043	1.308478832244873e+0
83283	1.305412530899048e+0
83525	1.319734930992126e+0
83815	1.362273931503296e+0
84053	1.473249435424805e+0
84289	1.552922964096069e+0
84526	1.623298048973083e+0
84840	1.681393861770630e+0
85022	1.709476113319397e+0
85283	1.688328742980957e+0
85547	1.577704668045044e+0
85798	1.518835067749023e+0
86047	1.481002211570740e+0
86303	1.456576704978943e+0
86571	1.456863403320313e+0
86834	1.471944212913513e+0
87104	1.491509199142456e+0
87363	1.504060745239258e+0
87630	1.512954115867615e+0
87901	1.519682407379150e+0
88122	1.518965959548950e+0
88391	1.500519990921021e+0
88662	1.474184989929199e+0
88902	1.459552645683289e+0
89167	1.495008111000061e+0
89429	1.547581434249878e+0
89716	1.581359028816223e+0
89956	1.586174249649048e+0
90223	1.579838037490845e+0
90484	1.574540734291077e+0
90789	1.562546849250793e+0
90988	1.530073523521423e+0
91222	1.500604629516602e+0
91486	1.482077956199646e+0
91762	1.472850441932678e+0
91991	1.468626737594604e+0
92245	1.482857465744019e+0
92508	1.513890266418457e+0
92762	1.549633622169495e+0
93001	1.575032353401184e+0
